epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2671.37,1.63815,1.80153,1.63211,0.49884,0.55769,0.54087,0.29398,1.72829,1.878,1.9633,0.00098525,0.00098525,0.00098525
43,2729.16,1.62032,1.73988,1.60867,0.61933,0.55769,0.57596,0.25769,1.8983,2.07697,2.06398,0.0009605,0.0009605,0.0009605
44,2786.51,1.55215,1.70781,1.5515,0.5434,0.34615,0.41309,0.18988,1.92684,2.71686,1.98544,0.00093575,0.00093575,0.00093575
45,2844.99,1.60321,1.83312,1.62887,0.62856,0.39065,0.51539,0.26442,1.95276,1.88181,2.03236,0.000911,0.000911,0.000911
46,2902.69,1.52085,1.75631,1.54258,0.75783,0.42132,0.57514,0.28561,1.80883,1.90415,1.91628,0.00088625,0.00088625,0.00088625
47,2961.51,1.57076,1.73625,1.60598,0.6285,0.61821,0.61762,0.30475,1.74304,1.76402,1.87173,0.0008615,0.0008615,0.0008615
48,3019.32,1.47305,1.66228,1.51408,0.91262,0.40181,0.5688,0.2948,1.7876,1.80885,1.96746,0.00083675,0.00083675,0.00083675
49,3078.89,1.48085,1.49657,1.4914,0.68369,0.48077,0.60786,0.32019,1.78822,1.72127,1.95564,0.000812,0.000812,0.000812
50,3137.39,1.44935,1.54259,1.49928,0.56553,0.44231,0.55278,0.25975,1.84356,2.13467,1.97387,0.00078725,0.00078725,0.00078725
51,3197.5,1.44213,1.56815,1.49543,0.6021,0.61116,0.62624,0.32478,1.73492,1.69946,1.88396,0.0007625,0.0007625,0.0007625
52,3256.67,1.41679,1.54694,1.49412,0.47571,0.55838,0.54985,0.26932,1.76123,1.69567,1.9045,0.00073775,0.00073775,0.00073775
53,3315.59,1.53954,1.60614,1.54199,0.78504,0.38462,0.51963,0.26112,1.81943,1.85463,1.9358,0.000713,0.000713,0.000713
54,3377.3,1.49755,1.48896,1.51962,0.44051,0.57692,0.53255,0.27194,1.79038,1.76967,1.92097,0.00068825,0.00068825,0.00068825
55,3435.82,1.45049,1.58105,1.50552,0.48964,0.53846,0.45346,0.2005,1.91119,2.12745,2.08484,0.0006635,0.0006635,0.0006635
56,3495.08,1.44056,1.55996,1.52902,0.48207,0.53846,0.57183,0.30809,1.62697,2.03942,1.86939,0.00063875,0.00063875,0.00063875
57,3553.85,1.37693,1.52214,1.49451,0.77733,0.47009,0.634,0.34791,1.63336,1.72383,1.86161,0.000614,0.000614,0.000614
58,3611.41,1.399,1.5429,1.47537,0.5301,0.71154,0.63276,0.33365,1.67919,1.70573,1.88936,0.00058925,0.00058925,0.00058925
59,3671.35,1.45028,1.58122,1.49576,0.65514,0.46154,0.61231,0.31761,1.63632,1.62469,1.84539,0.0005645,0.0005645,0.0005645
60,3730.73,1.41078,1.46304,1.44543,0.70063,0.61538,0.66382,0.37735,1.63088,1.47771,1.79903,0.00053975,0.00053975,0.00053975
61,3789.16,1.38619,1.47451,1.46575,0.66993,0.58559,0.60989,0.34163,1.75822,1.55889,1.88043,0.000515,0.000515,0.000515
62,3848.97,1.41734,1.45172,1.49285,0.65477,0.61538,0.60712,0.31928,1.74938,1.61956,1.87183,0.00049025,0.00049025,0.00049025
63,3907.15,1.4087,1.51643,1.50374,0.60044,0.59615,0.60227,0.3442,1.75584,1.60308,1.89734,0.0004655,0.0004655,0.0004655
64,3966.14,1.38492,1.44152,1.46784,0.71312,0.55769,0.66876,0.35434,1.75109,1.63799,1.9709,0.00044075,0.00044075,0.00044075
65,4024.49,1.35364,1.46131,1.43633,0.67713,0.65385,0.61764,0.34115,1.75085,1.62685,1.94936,0.000416,0.000416,0.000416
66,4082.94,1.39986,1.45533,1.4621,0.70917,0.65656,0.63998,0.35494,1.70455,1.55158,1.88966,0.00039125,0.00039125,0.00039125
67,4141.08,1.28169,1.32643,1.34964,0.71947,0.69051,0.7028,0.37052,1.65973,1.45368,1.83452,0.0003665,0.0003665,0.0003665
68,4199.22,1.28029,1.39438,1.3931,0.62045,0.67308,0.67785,0.35816,1.62524,1.49165,1.79708,0.00034175,0.00034175,0.00034175
69,4257.83,1.34406,1.46867,1.44072,0.63156,0.69226,0.70245,0.36677,1.63172,1.45783,1.81221,0.000317,0.000317,0.000317
70,4316.02,1.33482,1.34294,1.41385,0.71441,0.69231,0.71993,0.38025,1.64805,1.42082,1.8329,0.00029225,0.00029225,0.00029225
71,4373.3,1.31641,1.38082,1.46067,0.69831,0.67308,0.67249,0.36653,1.65465,1.47076,1.82431,0.0002675,0.0002675,0.0002675
72,4432.21,1.30483,1.32927,1.45523,0.81408,0.61538,0.6715,0.36852,1.66919,1.5582,1.82577,0.00024275,0.00024275,0.00024275
73,4490.23,1.22221,1.25276,1.40263,0.7816,0.65385,0.70171,0.37914,1.69887,1.53484,1.83249,0.000218,0.000218,0.000218
74,4547.92,1.2973,1.31441,1.45251,0.77103,0.64767,0.69224,0.37274,1.71201,1.4976,1.8414,0.00019325,0.00019325,0.00019325
75,4605.8,1.2705,1.25176,1.43412,0.71921,0.69231,0.69412,0.3655,1.73194,1.49662,1.86372,0.0001685,0.0001685,0.0001685
76,4663.41,1.24628,1.24877,1.41891,0.71874,0.69231,0.69482,0.3651,1.74712,1.50294,1.87891,0.00014375,0.00014375,0.00014375
77,4721.07,1.19846,1.2346,1.41188,0.68357,0.67308,0.65507,0.35302,1.7391,1.50896,1.87612,0.000119,0.000119,0.000119
78,4778.85,1.21022,1.22096,1.38418,0.67434,0.65385,0.65546,0.3554,1.72942,1.50224,1.87213,9.425e-05,9.425e-05,9.425e-05
79,4837.79,1.24232,1.19766,1.38944,0.67489,0.65385,0.66123,0.36584,1.71732,1.48064,1.86076,6.95e-05,6.95e-05,6.95e-05
80,4895.96,1.19786,1.19115,1.37072,0.69066,0.65385,0.70441,0.38157,1.7321,1.46327,1.86787,4.475e-05,4.475e-05,4.475e-05
