epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6659.7,1.7975,2.07796,1.79268,0.82233,0.42084,0.53062,0.26316,1.27908,4.67817,1.3075,0.00098525,0.00098525,0.00098525
43,6800.74,1.6955,1.8954,1.70349,0.74875,0.42857,0.51691,0.28392,1.27414,4.41526,1.29433,0.0009605,0.0009605,0.0009605
44,6942.07,1.82076,2.03189,1.82216,0.88644,0.37662,0.52433,0.28554,1.20542,2.67513,1.24381,0.00093575,0.00093575,0.00093575
45,7083.09,1.67652,1.85256,1.71308,0.75187,0.44156,0.54987,0.27083,1.20948,2.44495,1.24114,0.000911,0.000911,0.000911
46,7223.22,1.74455,1.96153,1.79173,0.74609,0.45455,0.53035,0.27487,1.19476,3.24232,1.24301,0.00088625,0.00088625,0.00088625
47,7364.1,1.6707,1.87327,1.72225,0.8393,0.41558,0.53726,0.28113,1.16548,2.41049,1.23859,0.0008615,0.0008615,0.0008615
48,7505.24,1.64744,1.77475,1.67321,0.82778,0.43703,0.56888,0.28376,1.20176,3.35072,1.25765,0.00083675,0.00083675,0.00083675
49,7646.34,1.71332,1.91841,1.7589,0.85272,0.35065,0.49748,0.27336,1.18453,2.08498,1.22626,0.000812,0.000812,0.000812
50,7786.89,1.67179,1.87183,1.71354,0.63533,0.50649,0.53456,0.28724,1.15174,2.69515,1.21211,0.00078725,0.00078725,0.00078725
51,7927.97,1.67734,1.86897,1.70177,0.65005,0.44156,0.50082,0.26888,1.19108,3.38264,1.26823,0.0007625,0.0007625,0.0007625
52,8067.67,1.53472,1.72512,1.621,0.59187,0.47089,0.58317,0.31475,1.14795,2.08934,1.17441,0.00073775,0.00073775,0.00073775
53,8207.23,1.70439,1.84209,1.7399,0.75548,0.48052,0.59056,0.30714,1.12149,1.82943,1.17569,0.000713,0.000713,0.000713
54,8347.71,1.63104,1.76714,1.66227,0.83417,0.41558,0.56396,0.29424,1.1472,2.1642,1.22814,0.00068825,0.00068825,0.00068825
55,8489.05,1.63614,1.77127,1.68725,0.58063,0.5974,0.61394,0.30964,1.17895,1.88744,1.2213,0.0006635,0.0006635,0.0006635
56,8629.92,1.57221,1.73024,1.64563,0.69241,0.46776,0.60442,0.32753,1.1228,2.25702,1.17731,0.00063875,0.00063875,0.00063875
57,8770.68,1.58606,1.75944,1.6471,0.9081,0.38509,0.5699,0.31915,1.0961,2.44181,1.15906,0.000614,0.000614,0.000614
58,8911.85,1.59419,1.80498,1.64824,0.65018,0.53106,0.61105,0.31499,1.10036,2.33965,1.18497,0.00058925,0.00058925,0.00058925
59,9052.5,1.62763,1.80772,1.7008,0.77139,0.49351,0.59255,0.30113,1.15685,1.99492,1.21237,0.0005645,0.0005645,0.0005645
60,9193.1,1.56267,1.70484,1.63567,0.63283,0.54545,0.58842,0.3264,1.15837,2.18637,1.22011,0.00053975,0.00053975,0.00053975
61,9334.33,1.5794,1.69231,1.63805,0.73948,0.44237,0.58649,0.30891,1.17126,2.15389,1.22708,0.000515,0.000515,0.000515
62,9479.83,1.49417,1.56966,1.55693,0.63038,0.58442,0.60827,0.33646,1.11588,2.46292,1.18255,0.00049025,0.00049025,0.00049025
63,9621.87,1.53226,1.7014,1.60143,0.75407,0.43808,0.59566,0.32307,1.10375,2.25312,1.16444,0.0004655,0.0004655,0.0004655
64,9762.22,1.58503,1.68815,1.66712,0.746,0.45776,0.6019,0.3262,1.16123,2.09574,1.18304,0.00044075,0.00044075,0.00044075
65,9924.41,1.493,1.56708,1.58965,0.82324,0.44156,0.58654,0.3254,1.10307,1.9437,1.16901,0.000416,0.000416,0.000416
66,10082.8,1.51009,1.50605,1.55945,0.82781,0.45455,0.6284,0.32654,1.13756,1.96139,1.199,0.00039125,0.00039125,0.00039125
67,10231.1,1.55425,1.62715,1.63552,0.58632,0.66234,0.63526,0.3213,1.14565,1.92735,1.21562,0.0003665,0.0003665,0.0003665
68,10373.1,1.5214,1.61685,1.60756,0.6354,0.67532,0.65778,0.3325,1.13695,2.29882,1.2006,0.00034175,0.00034175,0.00034175
69,10514.6,1.52266,1.58727,1.59439,0.5876,0.64766,0.64078,0.34146,1.11347,2.07779,1.19206,0.000317,0.000317,0.000317
70,10655.8,1.47937,1.55746,1.57341,0.58205,0.68729,0.65064,0.35313,1.10263,2.34693,1.18341,0.00029225,0.00029225,0.00029225
71,10795.7,1.49667,1.51957,1.59869,0.74742,0.67532,0.67378,0.3575,1.14192,2.14635,1.218,0.0002675,0.0002675,0.0002675
72,10934.9,1.45894,1.49882,1.62457,0.7779,0.58442,0.67809,0.35634,1.10934,2.26698,1.16814,0.00024275,0.00024275,0.00024275
73,11074.8,1.42381,1.44491,1.58568,0.65119,0.67532,0.67512,0.34496,1.11208,2.05631,1.18343,0.000218,0.000218,0.000218
74,11214.5,1.402,1.38736,1.548,0.7664,0.50649,0.62985,0.32456,1.15932,1.86826,1.22516,0.00019325,0.00019325,0.00019325
75,11353.3,1.41424,1.43307,1.5823,0.6523,0.5974,0.62542,0.32792,1.14832,1.7958,1.23338,0.0001685,0.0001685,0.0001685
76,11493.2,1.40484,1.3136,1.52025,0.80805,0.46753,0.63269,0.33508,1.07234,1.86082,1.15893,0.00014375,0.00014375,0.00014375
77,11632.9,1.39177,1.44885,1.55334,0.68821,0.62338,0.67499,0.35436,1.07272,1.83901,1.15366,0.000119,0.000119,0.000119
78,11771.9,1.44194,1.38977,1.58079,0.68951,0.67532,0.67453,0.36553,1.06208,1.76787,1.14523,9.425e-05,9.425e-05,9.425e-05
79,11911.2,1.37469,1.33348,1.55887,0.65301,0.65992,0.65995,0.34242,1.063,1.67824,1.15296,6.95e-05,6.95e-05,6.95e-05
80,12063.2,1.41135,1.37676,1.56047,0.64076,0.67181,0.65398,0.33647,1.06197,1.70201,1.15603,4.475e-05,4.475e-05,4.475e-05
